patient_id,fold,k,strategy,replicate,observed_frame_indices_json,estimator_visible_tensors,scoring_only_tensors
patient001,2,5,uniform,0,"[0, 6, 12, 17, 23]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient001,2,5,random,0,"[4, 15, 17, 18, 21]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient001,2,5,random,1,"[0, 1, 2, 4, 20]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient001,2,5,random,2,"[1, 11, 14, 18, 20]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient001,2,5,random,3,"[4, 12, 13, 18, 22]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient001,2,5,random,4,"[2, 6, 7, 14, 21]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient001,2,5,clustered,0,"[14, 16, 18, 20, 22]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient001,2,5,clustered,1,"[6, 8, 10, 12, 14]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient001,2,5,clustered,2,"[3, 5, 7, 9, 11]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient001,2,5,clustered,3,"[15, 17, 19, 21, 23]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient001,2,5,clustered,4,"[0, 2, 4, 6, 8]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient002,2,5,uniform,0,"[0, 6, 12, 17, 23]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient002,2,5,random,0,"[1, 5, 7, 17, 18]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient002,2,5,random,1,"[2, 14, 18, 19, 23]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient002,2,5,random,2,"[0, 2, 4, 12, 19]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient002,2,5,random,3,"[1, 5, 7, 18, 19]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient002,2,5,random,4,"[4, 9, 11, 18, 23]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient002,2,5,clustered,0,"[4, 6, 8, 10, 12]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient002,2,5,clustered,1,"[11, 13, 15, 17, 19]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient002,2,5,clustered,2,"[7, 9, 11, 13, 15]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient002,2,5,clustered,3,"[3, 5, 7, 9, 11]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient002,2,5,clustered,4,"[1, 3, 5, 7, 9]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient005,2,5,uniform,0,"[0, 6, 12, 17, 23]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient005,2,5,random,0,"[4, 6, 8, 9, 17]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient005,2,5,random,1,"[5, 10, 13, 14, 19]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient005,2,5,random,2,"[5, 9, 14, 16, 20]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient005,2,5,random,3,"[6, 7, 10, 18, 19]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient005,2,5,random,4,"[0, 8, 11, 19, 20]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient005,2,5,clustered,0,"[8, 10, 12, 14, 16]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient005,2,5,clustered,1,"[15, 17, 19, 21, 23]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient005,2,5,clustered,2,"[3, 5, 7, 9, 11]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient005,2,5,clustered,3,"[11, 13, 15, 17, 19]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient005,2,5,clustered,4,"[5, 7, 9, 11, 13]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient018,2,5,uniform,0,"[0, 6, 12, 17, 23]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient018,2,5,random,0,"[2, 7, 9, 13, 16]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient018,2,5,random,1,"[3, 10, 12, 14, 17]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient018,2,5,random,2,"[5, 6, 15, 22, 23]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient018,2,5,random,3,"[7, 8, 15, 18, 21]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient018,2,5,random,4,"[1, 8, 9, 10, 16]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient018,2,5,clustered,0,"[1, 3, 5, 7, 9]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient018,2,5,clustered,1,"[13, 15, 17, 19, 21]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient018,2,5,clustered,2,"[0, 2, 4, 6, 8]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient018,2,5,clustered,3,"[12, 14, 16, 18, 20]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient018,2,5,clustered,4,"[4, 6, 8, 10, 12]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient023,2,5,uniform,0,"[0, 6, 12, 17, 23]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient023,2,5,random,0,"[6, 7, 14, 15, 16]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient023,2,5,random,1,"[3, 5, 14, 15, 17]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient023,2,5,random,2,"[9, 11, 15, 16, 22]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient023,2,5,random,3,"[9, 10, 13, 15, 20]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient023,2,5,random,4,"[0, 4, 5, 12, 19]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient023,2,5,clustered,0,"[10, 12, 14, 16, 18]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient023,2,5,clustered,1,"[1, 3, 5, 7, 9]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient023,2,5,clustered,2,"[6, 8, 10, 12, 14]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient023,2,5,clustered,3,"[1, 3, 5, 7, 9]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient023,2,5,clustered,4,"[1, 3, 5, 7, 9]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient041,2,5,uniform,0,"[0, 6, 12, 17, 23]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient041,2,5,random,0,"[8, 12, 14, 15, 16]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient041,2,5,random,1,"[2, 4, 13, 17, 23]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient041,2,5,random,2,"[1, 3, 8, 14, 18]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient041,2,5,random,3,"[1, 4, 7, 8, 16]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient041,2,5,random,4,"[4, 8, 18, 19, 23]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient041,2,5,clustered,0,"[9, 11, 13, 15, 17]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient041,2,5,clustered,1,"[6, 8, 10, 12, 14]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient041,2,5,clustered,2,"[3, 5, 7, 9, 11]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient041,2,5,clustered,3,"[6, 8, 10, 12, 14]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient041,2,5,clustered,4,"[13, 15, 17, 19, 21]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient043,2,5,uniform,0,"[0, 6, 12, 17, 23]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient043,2,5,random,0,"[8, 9, 11, 14, 23]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient043,2,5,random,1,"[1, 4, 18, 20, 23]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient043,2,5,random,2,"[5, 6, 8, 15, 19]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient043,2,5,random,3,"[4, 5, 10, 14, 15]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient043,2,5,random,4,"[0, 1, 5, 21, 22]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient043,2,5,clustered,0,"[4, 6, 8, 10, 12]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient043,2,5,clustered,1,"[2, 4, 6, 8, 10]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
