patient_id,fold,k,strategy,replicate,method_id,mean_hidden_dice,mean_hidden_hd95_px,area_curve_relative_rmse,cycle_closure_error,hidden_brier,posterior_predictive_hidden_brier,mean_hidden_predictive_entropy,mean_hidden_predictive_variance,hidden_area_95_coverage,area_95_interval_width_relative,trust_score,trust_threshold,trust_gate_reject,phase_offset_cycles,runtime_s,hidden_images_used_by_estimator,hidden_masks_used_by_estimator,statistical_unit,setting
patient004,1,10,uniform,0,oa_hb_tpm_map,0.7913543218239274,6.247000146427949,0.09068298743908054,0.0,0.02811732515692711,0.02811478078365326,0.06290823221206665,1.0329781616746914e-06,0.07142857142857142,0.006342255162979498,4.937140693073161e-05,0.0001866603779490107,False,0.037878867238759995,0.04619046091102064,False,False,patient,end-to-end sparse image observations
patient004,1,10,random,0,oa_hb_tpm_map,0.783190584343995,6.513358637618107,0.09065782061100487,0.0,0.02992926724255085,0.029942145571112633,0.06298575550317764,5.879450327483937e-06,0.0,0.012574942775770327,4.70254453830421e-05,0.0001866603779490107,False,0.03787412494421005,0.03200208209455013,False,False,patient,end-to-end sparse image observations
patient004,1,10,random,1,oa_hb_tpm_map,0.7854682643543186,6.350638999451532,0.09067313050903074,0.0,0.029284432530403137,0.029281239956617355,0.06290783733129501,1.5875129975029267e-06,0.0,0.007765864271027923,4.285773684387095e-05,0.0001866603779490107,False,0.03787959739565849,0.03198757488280535,False,False,patient,end-to-end sparse image observations
patient004,1,10,random,2,oa_hb_tpm_map,0.7885625316063098,6.481067735417677,0.09066580318546379,0.0,0.029141105711460114,0.029134364798665047,0.06317432224750519,1.6239042452070862e-05,0.0,0.02181199168732482,3.176221434841864e-05,0.0001866603779490107,False,0.03787882253527641,0.030318493954837322,False,False,patient,end-to-end sparse image observations
patient004,1,10,random,3,oa_hb_tpm_map,0.7844295439957333,6.5470414886134085,0.09067348899148124,0.0,0.029766639694571495,0.029767686501145363,0.06300204992294312,6.558198492712108e-06,0.07142857142857142,0.013252746337833186,3.472135358606465e-05,0.0001866603779490107,False,0.03787544369697571,0.028652373934164643,False,False,patient,end-to-end sparse image observations
patient004,1,10,random,4,oa_hb_tpm_map,0.7923287971955375,6.227023223474404,0.09067844195651527,0.0,0.028185905888676643,0.02816866524517536,0.06293759495019913,2.242310756628285e-06,0.07142857142857142,0.00850454677439038,4.3120584450662136e-05,0.0001866603779490107,False,0.03787590563297272,0.028907553059980273,False,False,patient,end-to-end sparse image observations
patient004,1,10,clustered,0,oa_hb_tpm_map,0.8036264563271187,5.912948562343053,0.08445723359714567,0.0038676407391491363,0.027626274153590202,0.03773719444870949,0.1604710966348648,0.012664377689361572,0.6428571428571429,1.3059173180429078,9.705167030915618e-05,0.0001866603779490107,False,0.03787444159388542,0.028663610108196735,False,False,patient,end-to-end sparse image observations
patient004,1,10,clustered,1,oa_hb_tpm_map,0.7812571744594469,6.527174750678493,0.08071536114081111,0.005159071367153878,0.031048741191625595,0.04448772594332695,0.17546480894088745,0.01488183718174696,0.5714285714285714,1.2880147639934683,0.00010625266440911219,0.0001866603779490107,False,0.03788182884454727,0.02925908495672047,False,False,patient,end-to-end sparse image observations
patient004,1,10,clustered,2,oa_hb_tpm_map,0.814719308803123,5.639185757805273,0.09485531470348954,0.0008710801393728707,0.024942634627223015,0.034023698419332504,0.16087213158607483,0.013899607583880424,0.5714285714285714,1.4268432614045237,8.187352068489417e-05,0.0001866603779490107,False,0.037877440452575684,0.029056882951408625,False,False,patient,end-to-end sparse image observations
patient004,1,10,clustered,3,oa_hb_tpm_map,0.7843492613792622,6.480361297669317,0.07380884253634737,0.007959782153330486,0.03083614632487297,0.04472527280449867,0.18025615811347961,0.014156586490571499,0.7142857142857143,1.1210181077134325,0.00010512728476896882,0.0001866603779490107,False,0.03788159042596817,0.029959114966914058,False,False,patient,end-to-end sparse image observations
