patient_id,fold,k,strategy,replicate,observed_frame_indices_json,estimator_visible_tensors,scoring_only_tensors
patient004,1,3,uniform,0,"[0, 12, 23]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient004,1,3,random,0,"[1, 14, 16]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient004,1,3,random,1,"[12, 15, 23]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient004,1,3,random,2,"[6, 9, 20]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient004,1,3,random,3,"[0, 5, 16]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient004,1,3,random,4,"[2, 8, 9]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient004,1,3,clustered,0,"[2, 6, 10]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient004,1,3,clustered,1,"[9, 13, 17]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient004,1,3,clustered,2,"[11, 15, 19]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient004,1,3,clustered,3,"[9, 13, 17]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient004,1,3,clustered,4,"[3, 7, 11]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient009,1,3,uniform,0,"[0, 12, 23]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient009,1,3,random,0,"[5, 19, 21]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient009,1,3,random,1,"[13, 15, 21]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient009,1,3,random,2,"[4, 7, 15]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient009,1,3,random,3,"[6, 11, 16]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient009,1,3,random,4,"[5, 10, 12]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient009,1,3,clustered,0,"[15, 19, 23]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient009,1,3,clustered,1,"[5, 9, 13]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient009,1,3,clustered,2,"[11, 15, 19]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient009,1,3,clustered,3,"[15, 19, 23]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient009,1,3,clustered,4,"[10, 14, 18]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient010,1,3,uniform,0,"[0, 12, 23]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient010,1,3,random,0,"[0, 19, 23]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient010,1,3,random,1,"[11, 12, 18]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient010,1,3,random,2,"[0, 10, 11]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient010,1,3,random,3,"[1, 6, 20]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient010,1,3,random,4,"[1, 3, 15]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient010,1,3,clustered,0,"[11, 15, 19]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient010,1,3,clustered,1,"[4, 8, 12]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient010,1,3,clustered,2,"[9, 13, 17]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient010,1,3,clustered,3,"[13, 17, 21]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient010,1,3,clustered,4,"[11, 15, 19]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient012,1,3,uniform,0,"[0, 12, 23]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient012,1,3,random,0,"[1, 3, 12]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient012,1,3,random,1,"[0, 6, 8]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient012,1,3,random,2,"[2, 6, 10]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient012,1,3,random,3,"[4, 13, 14]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient012,1,3,random,4,"[2, 3, 6]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient012,1,3,clustered,0,"[6, 10, 14]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient012,1,3,clustered,1,"[2, 6, 10]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient012,1,3,clustered,2,"[15, 19, 23]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient012,1,3,clustered,3,"[7, 11, 15]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient012,1,3,clustered,4,"[15, 19, 23]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient020,1,3,uniform,0,"[0, 12, 23]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient020,1,3,random,0,"[16, 17, 18]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient020,1,3,random,1,"[9, 10, 18]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient020,1,3,random,2,"[1, 9, 14]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient020,1,3,random,3,"[0, 11, 19]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
