patient_id,fold,k,strategy,replicate,method_id,mean_hidden_dice,mean_hidden_hd95_px,area_curve_relative_rmse,cycle_closure_error,hidden_brier,posterior_predictive_hidden_brier,mean_hidden_predictive_entropy,mean_hidden_predictive_variance,hidden_area_95_coverage,area_95_interval_width_relative,trust_score,trust_threshold,trust_gate_reject,phase_offset_cycles,runtime_s,hidden_images_used_by_estimator,hidden_masks_used_by_estimator,statistical_unit,setting
patient001,2,10,uniform,0,source_mean,0.8291070823603521,7.368908191245517,0.3175806258592765,0.00562700964630225,0.01844269409775734,0.01844269409775734,0.09590758383274078,0.0,,,0.016084782779216766,0.01650646757334471,False,0.029744522646069527,0.03630896890535951,False,False,patient,end-to-end sparse image observations
patient001,2,10,random,0,source_mean,0.8527568796398437,6.872798243565234,0.31758055560397325,0.00562700964630225,0.01669883541762829,0.01669883541762829,0.09635412693023682,0.0,,,0.01568485051393509,0.01650646757334471,False,0.029739582911133766,0.02555665303952992,False,False,patient,end-to-end sparse image observations
patient001,2,10,random,1,source_mean,0.8195586478745136,7.1473902179840945,0.31758071681239364,0.00562700964630225,0.019219236448407173,0.019219236448407173,0.09577836096286774,0.0,,,0.015417280606925488,0.01650646757334471,False,0.02974809519946575,0.025352871045470238,False,False,patient,end-to-end sparse image observations
patient001,2,10,random,2,source_mean,0.8116100961407053,7.303576845748305,0.317580718642078,0.00562700964630225,0.019688958302140236,0.019688958302140236,0.09549149125814438,0.0,,,0.016417181119322777,0.01650646757334471,False,0.029749402776360512,0.02504203701391816,False,False,patient,end-to-end sparse image observations
patient001,2,10,random,3,source_mean,0.8246299650658849,7.268518202722345,0.31758074673968906,0.00562700964630225,0.01850600726902485,0.01850600726902485,0.09552721679210663,0.0,,,0.0197626780718565,0.01650646757334471,True,0.029751820489764214,0.025135829113423824,False,False,patient,end-to-end sparse image observations
patient001,2,10,random,4,source_mean,0.8336755325527841,7.016274954994769,0.317580668450001,0.00562700964630225,0.01812015473842621,0.01812015473842621,0.09609533846378326,0.0,,,0.013758805580437183,0.01650646757334471,False,0.029744194820523262,0.025263889925554395,False,False,patient,end-to-end sparse image observations
patient001,2,10,clustered,0,source_mean,0.8644415490095689,6.361675932269809,0.31758056265922874,0.00562700964630225,0.015910333022475243,0.015910333022475243,0.09677983820438385,0.0,,,0.011232234537601471,0.01650646757334471,False,0.02973881922662258,0.025102126877754927,False,False,patient,end-to-end sparse image observations
patient001,2,10,clustered,1,source_mean,0.8725621715266271,6.361675932269809,0.31758047704111586,0.00562700964630225,0.015326451510190964,0.015326451510190964,0.09687342494726181,0.0,,,0.012726875953376293,0.01650646757334471,False,0.029732367023825645,0.02511340193450451,False,False,patient,end-to-end sparse image observations
patient001,2,10,clustered,2,source_mean,0.8345513165171782,7.499380431427609,0.31758059777026304,0.00562700964630225,0.01811998523771763,0.01811998523771763,0.09593819826841354,0.0,,,0.018852321431040764,0.01650646757334471,True,0.029740095138549805,0.024788887007161975,False,False,patient,end-to-end sparse image observations
patient001,2,10,clustered,3,source_mean,0.8541881076715828,6.43310450369838,0.31758065156490894,0.00562700964630225,0.016693690791726112,0.016693690791726112,0.09667052328586578,0.0,,,0.009412148036062717,0.01650646757334471,False,0.029744047671556473,0.024979159934446216,False,False,patient,end-to-end sparse image observations
patient001,2,10,clustered,4,source_mean,0.848067822490395,7.213666145713323,0.3175804996786146,0.00562700964630225,0.017134658992290497,0.017134658992290497,0.09627719968557358,0.0,,,0.016703899949789047,0.01650646757334471,True,0.029732581228017807,0.02489628503099084,False,False,patient,end-to-end sparse image observations
