patient_id,fold,k,strategy,replicate,method_id,mean_hidden_dice,mean_hidden_hd95_px,area_curve_relative_rmse,cycle_closure_error,hidden_brier,posterior_predictive_hidden_brier,mean_hidden_predictive_entropy,mean_hidden_predictive_variance,hidden_area_95_coverage,area_95_interval_width_relative,trust_score,trust_threshold,trust_gate_reject,phase_offset_cycles,runtime_s,hidden_images_used_by_estimator,hidden_masks_used_by_estimator,statistical_unit,setting
patient001,2,5,uniform,0,target_only,0.830251795093797,7.420854543162825,0.3436722485504172,0.0,0.01986396685242653,0.09199047833681107,0.47084861993789673,0.05448846146464348,1.0,5.85433570908336,4.232465886013642e-13,4.3617919877076554e-13,False,0.03566993400454521,0.07717189891263843,False,False,patient,end-to-end sparse image observations
patient001,2,5,random,0,target_only,0.8231975898483176,7.504333912613221,0.3581045982922056,0.003824904377390581,0.021194322034716606,0.08025898784399033,0.4402487874031067,0.048737894743680954,1.0,5.359727713687996,8.627100769875717e-13,4.3617919877076554e-13,True,0.03567331284284592,0.03881047782488167,False,False,patient,end-to-end sparse image observations
patient001,2,5,random,1,target_only,0.8115270912953964,8.250444624002245,0.35970194401048816,0.0,0.022173592820763588,0.07652062922716141,0.4198422431945801,0.04155779629945755,0.8421052631578947,4.662642440275024,6.538399682787244e-11,4.3617919877076554e-13,True,0.0356656089425087,0.03589827613905072,False,False,patient,end-to-end sparse image observations
patient001,2,5,random,2,target_only,0.8332204784777074,7.316713243631528,0.35297600310447824,0.00042973785990541025,0.019842488691210747,0.0960095003247261,0.48530957102775574,0.05923987925052643,1.0,6.522530990094274,3.106028617898965e-13,4.3617919877076554e-13,False,0.03566613048315048,0.035464955028146505,False,False,patient,end-to-end sparse image observations
patient001,2,5,random,3,target_only,0.8349455820099969,7.21425807640701,0.35414062866692775,0.0050890585241730735,0.019705675542354584,0.1031213030219078,0.48515382409095764,0.05405578389763832,0.42105263157894735,5.497501994422944,2.843564955983674e-13,4.3617919877076554e-13,False,0.03565925732254982,0.03725237702019513,False,False,patient,end-to-end sparse image observations
patient001,2,5,random,4,target_only,0.8309036045605912,7.325414665788386,0.3482008232365563,0.0008680555555555802,0.019898835569620132,0.09466595947742462,0.46901845932006836,0.05219964683055878,0.9473684210526315,5.664438339930495,7.153078585182826e-13,4.3617919877076554e-13,True,0.03566324710845947,0.03473308915272355,False,False,patient,end-to-end sparse image observations
patient001,2,5,clustered,0,target_only,0.8262506949266438,7.25945689429794,0.3558063401274737,0.00043010752688177334,0.02071780525147915,0.08388156443834305,0.4399931728839874,0.05156911164522171,1.0,5.6188707391526105,6.1736479643748066e-12,4.3617919877076554e-13,True,0.035667307674884796,0.03530550212599337,False,False,patient,end-to-end sparse image observations
patient001,2,5,clustered,1,target_only,0.8528295186311236,6.824901325408298,0.3500765973973064,0.002091175240485188,0.01748703606426716,0.09372244775295258,0.42658478021621704,0.043588463217020035,1.0,4.702487467773963,6.448442040757341e-12,4.3617919877076554e-13,True,0.0356542207300663,0.03454175405204296,False,False,patient,end-to-end sparse image observations
patient001,2,5,clustered,2,target_only,0.8412234698839036,7.167610749050736,0.3529438301202156,0.0034188034188034067,0.018723927438259125,0.07625146955251694,0.40979015827178955,0.04299430549144745,1.0,5.048640247775075,6.407362054122734e-12,4.3617919877076554e-13,True,0.035653483122587204,0.03465808788314462,False,False,patient,end-to-end sparse image observations
patient001,2,5,clustered,3,target_only,0.8218332046344797,7.553475776618775,0.35724058404985,0.0,0.02124433033168316,0.09193065762519836,0.4381813406944275,0.047846898436546326,1.0,5.000773532758679,6.5537588377073686e-12,4.3617919877076554e-13,True,0.03568194434046745,0.03512297500856221,False,False,patient,end-to-end sparse image observations
