patient_id,fold,k,strategy,replicate,observed_frame_indices_json,estimator_visible_tensors,scoring_only_tensors
patient003,3,10,uniform,0,"[0, 3, 5, 8, 10, 13, 15, 18, 20, 23]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient003,3,10,random,0,"[0, 3, 8, 12, 13, 14, 15, 16, 17, 20]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient003,3,10,random,1,"[5, 7, 8, 11, 14, 15, 18, 19, 21, 23]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient003,3,10,random,2,"[0, 3, 6, 7, 8, 10, 15, 20, 22, 23]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient003,3,10,random,3,"[1, 6, 9, 11, 14, 16, 17, 18, 19, 23]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient003,3,10,random,4,"[0, 6, 8, 11, 12, 13, 14, 16, 17, 20]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient003,3,10,clustered,0,"[13, 14, 15, 16, 17, 18, 19, 20, 21, 22]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient003,3,10,clustered,1,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient003,3,10,clustered,2,"[13, 14, 15, 16, 17, 18, 19, 20, 21, 22]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient003,3,10,clustered,3,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient003,3,10,clustered,4,"[13, 14, 15, 16, 17, 18, 19, 20, 21, 22]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient011,3,10,uniform,0,"[0, 3, 5, 8, 10, 13, 15, 18, 20, 23]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient011,3,10,random,0,"[0, 1, 3, 7, 8, 10, 12, 13, 17, 22]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient011,3,10,random,1,"[0, 2, 4, 6, 8, 9, 10, 11, 14, 20]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient011,3,10,random,2,"[0, 3, 5, 6, 11, 14, 16, 17, 20, 21]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient011,3,10,random,3,"[4, 10, 11, 12, 15, 17, 18, 19, 22, 23]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient011,3,10,random,4,"[1, 5, 7, 9, 10, 12, 13, 15, 17, 20]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient011,3,10,clustered,0,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient011,3,10,clustered,1,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
